pm25,pm10,no2,so2,co,o3,pressure,aqi_change_rate,aqi_lag_1,aqi_lag_2,pm25_lag_1,aqi,year,month,day,hour
2.718143571735276,0.9326030839504962,2.47290919773699,0.5259309297234699,0.8171344134792425,-1.4943317641554283,1.0799207892030036,0.8637632471863386,2.244241052691153,2.116426485934167,3.125033550613363,144,2025,2,13,2
2.449430205207865,0.7331037284462739,2.185081738551196,0.19406375207910515,0.3923496248871511,-1.5190056646640382,1.0105467270062882,0.8637632471863386,2.371404790532638,2.2435610132324957,2.718126962412244,147,2025,2,13,3
2.196071888196306,0.611669338139356,1.8972542793654021,-0.04298423195258371,0.05295971647594403,-1.5190056646640382,0.9689222896882496,0.5762251986532148,2.498568528374123,2.370695540530825,2.4494150645435804,149,2025,2,13,4
1.5127721847408886,0.25314875723321795,1.6750716792921585,-0.06668903035575274,0.05077010416361367,-1.4696578636468185,0.9827971021275957,0.28868715012009105,2.5833443536017797,2.497830067829154,2.196058132267412,150,2025,2,13,5
1.4897396104671108,0.24736616721860272,1.513484333784344,-0.125951026363675,0.6682407762407775,-1.5930273661898675,1.1076704140816802,0.0011491015869672678,2.625732266215608,2.5825864193613737,1.512762163401381,150,2025,2,13,6
1.7430979274786695,0.3225398374085993,1.2812025246168612,-0.13780342556525943,1.6207221321044876,-1.7163968687329163,1.1770444762783956,0.0011491015869672678,2.625732266215608,2.624964595127483,1.4897297150126387,150,2025,2,13,7
2.610658225124312,0.5711912080370503,1.0337719018080211,0.3481449416997031,2.295122724302241,-1.5190056646640382,1.2602933509144572,0.0011491015869672678,2.625732266215608,2.624964595127483,1.7430866472888071,150,2025,2,13,8
2.55691555181883,0.5018001278616685,0.7913908835463003,1.8889568379056825,2.457154035414688,-0.7541147488971347,1.3435422255505187,0.0011491015869672678,2.625732266215608,2.624964595127483,2.6106422032647787,150,2025,2,13,9
0.9676679269281405,0.38325703256205845,0.5338610516432216,3.939421899779792,2.3454838074858397,0.30686297297308607,1.4267911001865803,0.0011491015869672678,2.625732266215608,2.624964595127483,2.5568998236910456,150,2025,2,13,10
1.0290881249915487,1.0742765393085667,0.26118240609878557,5.255038211155667,2.04988614532124,1.2197972917916482,1.371291850429211,0.0011491015869672678,2.625732266215608,2.624964595127483,0.9676608848678067,150,2025,2,13,11
1.1519285211183652,1.5050794953973943,-0.08219070310531928,5.231333412752498,1.4783973318030137,1.811970903998283,1.2602933509144572,-0.2863889469461565,2.625732266215608,2.624964595127483,1.0290807472377868,149,2025,2,13,12
0.936957827896436,1.3316017949589403,-0.4356630214036625,4.496484662254262,0.7273603086736974,2.2314272126446495,1.0799207892030036,0.0011491015869672678,2.5833443536017797,2.624964595127483,1.1519204719777474,149,2025,2,13,13
0.7680522832220635,1.1031894893816423,-0.6527960169297876,3.6668167181433504,0.17557800596644466,2.428818416713528,0.9272978523702267,0.0011491015869672678,2.5833443536017797,2.5825864193613737,0.9369509536828161,149,2025,2,13,14
0.6682444613690247,0.9730812140528019,-0.6830936442125027,2.8845583708387763,-0.034624776017270695,2.305448914170479,0.8301741652948189,-0.2863889469461565,2.5833443536017797,2.5825864193613737,0.7680463321653707,148,2025,2,13,15
0.6375343623373207,0.9065814288847279,-0.5770519487229998,2.0193332291231108,-0.04557283757892253,1.9600143070499418,0.7469252906587731,-0.2863889469461565,2.540956440987951,2.5825864193613737,0.6682390558141524,147,2025,2,13,16
0.8294724812854716,1.0019941641258776,-0.30942290772568276,1.699318450680331,0.09894157503488177,1.713275301963844,0.7469252906587731,-0.2863889469461565,2.498568528374123,2.5402082435952638,0.6375291246291624,146,2025,2,13,17
0.9907005012019184,0.8342990537020387,0.3116784515699774,1.3437464746327974,0.5346744251886251,1.0717538887399896,0.8162993528554884,-0.2863889469461565,2.4561806157602946,2.497830067829154,0.8294661945353508,145,2025,2,13,18
1.3208340657927378,0.88055977381896,1.160012015486001,0.8340933089646658,1.123680137205494,0.20816737093864696,0.8995482274915342,-0.2863889469461565,2.4137927031464663,2.4554518920630444,0.9906933332565491,144,2025,2,13,19
1.4206418876457765,0.9528421490016492,1.7154685156691118,0.41925933690921,1.4105193501207722,-0.4580279427938173,0.9827971021275957,-0.2863889469461565,2.371404790532638,2.4130737162969345,1.3208250934951928,143,2025,2,13,20
1.4206418876457765,0.967298624038187,1.735666933857588,0.20591615128068977,1.110542463331512,-0.6800930473713054,1.0105467270062882,-0.2863889469461565,2.32901687791881,2.370695540530825,1.4206323698464112,142,2025,2,13,21
1.2978014915189597,0.9065814288847279,1.4680378928602715,0.08739215926484523,0.5083990774406606,-0.6800930473713054,0.996671914566942,-0.2863889469461565,2.286628965304981,2.328317364764715,1.4206323698464112,141,2025,2,13,22
1.0674757487811788,0.7793644485631952,1.1297143882032856,-0.06668903035575274,-0.008349428269306276,-0.6060713458454761,0.996671914566942,-0.5739269954792803,2.244241052691153,2.2859391889986056,1.2977926451064503,139,2025,2,13,23
0.7526972337062112,0.5711912080370503,0.7509940471693466,-0.3155894135890262,-0.30613670274623633,-0.5073757438110369,0.9550474772489191,-0.8614650440124041,2.1594652274634965,2.2435610132324957,1.0674681612190244,136,2025,2,14,0
0.3764985205678356,0.2820617073062936,0.2965296379286198,-0.6000469944270531,-0.5207187093546124,-0.35933234075937814,0.9272978523702267,-1.149003092545528,2.0323014896220113,2.1588046617002763,0.7526913665728754,132,2025,2,14,1
0.007977332187385886,-0.03019815348292374,-0.0771410985582002,-0.8133901800555732,-0.6652331219684168,-0.2359628382163292,0.8856734150522038,-0.8614650440124041,1.8627498391666983,2.031670134401947,0.37649470955674635,129,2025,2,14,2
-0.2991236581296555,-0.2615017540675291,-0.37506776683823223,-0.9556189704745868,-0.768144900647944,-0.13726723618189007,0.8162993528554884,-1.149003092545528,1.7355861013252134,1.8621574313375082,0.007975535336864698,125,2025,2,14,3
-0.4910617770778064,-0.301979884169835,-0.5972503669114765,-1.0267333656840933,-0.80317869764523,-0.06324553465606071,0.788549727976796,-1.149003092545528,1.5660344508699,1.7350229040391791,-0.2991237765130367,121,2025,2,14,4
-0.6599673217521791,-0.3077624741844502,-0.6325975987413108,-1.0385857648856778,-0.702456531278033,-0.08791943516467049,0.7469252906587731,-0.8614650440124041,1.3964828004145868,1.5655102009747404,-0.491060846419225,118,2025,2,14,5
-0.6062246484466969,-0.0938066436436901,-0.19328200314194138,-0.8963569744666645,-0.3302224381818704,-0.38400624126798794,0.8024245404161422,-0.8614650440124041,1.269319062573102,1.3959974979103014,-0.6599654679366707,115,2025,2,14,6
-0.38357643046684176,0.10569271186053199,0.39752172887100357,-0.6830137888381442,0.17776761827877502,-0.7541147488971347,0.8856734150522038,-0.8614650440124041,1.142155324731617,1.2688629706119723,-0.606223088362938,112,2025,2,14,7
0.19991545113553677,0.3543440824889828,0.7358452335279891,-0.4578182040080396,0.468986055818714,-0.9021581519487935,0.9550474772489191,-0.8614650440124041,1.014991586890132,1.1417284433136432,-0.38357608727175935,109,2025,2,14,8
0.23062555016724107,0.25314875723321795,0.599505910755771,-0.22077021997635052,0.3332300924542312,-0.5813974453368662,1.0244215394456344,-0.8614650440124041,0.8878278490486471,1.014593916015314,0.19991260524305304,106,2025,2,14,9
0.06939753025079422,0.4410829327082098,0.21068636062759366,0.039982562458507585,-0.019297489830958116,0.010776166869768655,1.0937956016423498,-1.149003092545528,0.7606641112071622,0.8874593887169848,0.23062253642804334,102,2025,2,14,10
-0.015055242086392273,0.4092786876278263,-0.13773635312363042,0.2177685504822744,-0.31270553968322745,0.5042541770419644,1.0382963518849648,-0.2863889469461565,0.5911124607518489,0.7603248614186556,0.06939539770684502,101,2025,2,14,11
-0.030410291602244288,0.4353003426935946,-0.37001816229111306,0.30073534489336545,-0.45065111536004065,0.8496887841625014,0.8995482274915342,-0.2863889469461565,0.5487245481380205,0.5908121583542169,-0.015056913051877958,100,2025,2,14,12
-0.06112039063394832,0.4555394077447476,-0.556853530534523,0.30073534489336545,-0.529477158603934,1.1457755902658189,0.7469252906587731,-0.2863889469461565,0.5063366355241923,0.548433982588107,-0.03041187864437297,99,2025,2,14,13
-0.1302181134552828,0.3023007723574467,-0.6578456214769067,0.2414733488854432,-0.5513732817272375,1.2691450928088677,0.6775512284620577,-0.5739269954792803,0.46394872291036393,0.5060558068219974,-0.061121809829362994,97,2025,2,14,14
-0.23770346006624718,0.12014918689706983,-0.6477464123826684,0.09924455846642985,-0.5119602601052909,1.1457755902658189,0.5526779165079575,-0.2863889469461565,0.3791728976827073,0.46367763105588766,-0.13021915499559097,96,2025,2,14,15
-0.3528663314351377,-0.0012852034098480736,-0.5417047168931655,-0.11409862716209039,-0.4156173183627548,0.8743626846711112,0.4833038543112422,-0.2863889469461565,0.336784985068879,0.3789212795236682,-0.23770391414305633,95,2025,2,14,16
-0.36054385619306384,-0.10537182367292053,-0.30942290772568276,-0.2918846151858572,-0.28424057962293264,0.553601978059184,0.5110534791899346,-0.2863889469461565,0.2943970724550507,0.3365431037575585,-0.35286615608676936,94,2025,2,14,17
-0.23002593530832105,-0.23837139400906843,0.0642478287611371,-0.3867038087985329,-0.06090012376523511,0.23284127144725675,0.6081771662653425,-0.2863889469461565,0.25200915984122235,0.2941649279914488,-0.360543638883017,93,2025,2,14,18
-0.07647544014980033,-0.24415398402368366,0.574257888020175,-0.5170802000159619,0.1996637414020787,-0.21128893770771942,0.6220519787046729,-0.5739269954792803,0.20962124722739406,0.2517867522253391,-0.2300264313468087,91,2025,2,14,19
-0.07647544014980033,-0.20945844393599278,0.8671349517530881,-0.6356041920318064,0.3091443570185971,-0.5073757438110369,0.6498016035833654,-0.2863889469461565,0.12484542199973743,0.20940857645922936,-0.076476775421858,90,2025,2,14,20
-0.11486306393943051,-0.20367585392137777,0.7661428608107044,-0.7185709864428976,0.1383545966568284,-0.5073757438110369,0.6914260409013882,-0.5739269954792803,0.08245750938590912,0.12465222492700992,-0.076476775421858,88,2025,2,14,21
-0.199315836276617,-0.2586104590602215,0.45306737888931453,-0.7896853816524043,-0.1857080255680661,-0.35933234075937814,0.7053008533407344,-0.5739269954792803,-0.002318315841747504,0.0822740491609002,-0.11486418940309567,86,2025,2,14,22
-0.32215623240343366,-0.32511024422829543,0.13494229242080583,-0.8726521760634954,-0.4615991769216925,-0.21128893770771942,0.6498016035833654,-0.2863889469461565,-0.08709414106940414,-0.0024823023713192336,-0.19931650016181865,85,2025,2,14,23
-0.47570672756195437,-0.3945013244036772,-0.1427859576707495,-1.014880966482509,-0.619251263409479,-0.06324553465606071,0.58042754138665,-0.5739269954792803,-0.12948205368323243,-0.08723865390353867,-0.3221562249017793,83,2025,2,15,0
-0.6139021732046228,-0.4320881594986755,-0.42556381230942414,-1.1689621561031067,-0.7309214913383277,0.08479786839559801,0.4833038543112422,-0.5739269954792803,-0.21425787891088907,-0.12961682966964838,-0.47570588082673,81,2025,2,15,1
-0.6753223712680311,-0.44076204452059814,-0.6426968078355493,-1.2756337489173668,-0.80317869764523,0.18349347043003716,0.4416794169932193,-0.2863889469461565,-0.2990337041385457,-0.21437318120186782,-0.6139005711591854,80,2025,2,15,2
-0.6906774207838832,-0.4205229794694453,-0.7840857351548864,-1.3230433457237047,-0.8535397808288284,0.23284127144725675,0.37230535479650395,0.0011491015869672678,-0.341421616752374,-0.29912953273408727,-0.6753204335291657,80,2025,2,15,3
-0.6599673217521791,-0.4031752094255998,-0.8598298033616741,-1.3111909465221203,-0.8644878423904803,0.25751517195586654,0.35843054235715777,-0.2863889469461565,-0.341421616752374,-0.34150770850019696,-0.6906753991216606,79,2025,2,15,4
-0.5831920741729187,-0.3626970793232939,-0.8396313851731975,-1.2756337489173668,-0.8053683099575603,0.23284127144725675,0.3445557299178115,0.0011491015869672678,-0.38380952936620233,-0.34150770850019696,-0.6599654679366707,79,2025,2,15,5
-0.5294494008674365,-0.34824060428675613,-0.5518039259874038,-1.1808145553046911,-0.5995447525985057,0.03545006737837844,0.4278046045538731,0.0011491015869672678,-0.38380952936620233,-0.3838858842663067,-0.5831906399741953,79,2025,2,15,6
-0.39125395522476786,-0.2990885891625274,-0.16803398040634546,-1.0385857648856778,-0.3236536012448793,-0.21128893770771942,0.4971786667505884,0.0011491015869672678,-0.38380952936620233,-0.3838858842663067,-0.5294482604004627,79,2025,2,15,7
-0.11486306393943051,-0.1747629038483021,0.06929743330825636,-0.860799776861911,-0.15943267782010168,-0.30998453974215856,0.58042754138665,0.0011491015869672678,-0.38380952936620233,-0.3838858842663067,-0.391253570068007,79,2025,2,15,8
0.061720005492868074,-0.03308944849023135,0.013751783289945217,-0.6474565912333907,-0.220741822565352,-0.11259333567328028,0.6498016035833654,0.0011491015869672678,-0.38380952936620233,-0.3838858842663067,-0.11486418940309567,79,2025,2,15,9
0.1077851540404244,0.4208438676570567,-0.1882323985948223,-0.3985562080001173,-0.39591080755178143,0.23284127144725675,0.7053008533407344,0.0011491015869672678,-0.38380952936620233,-0.3838858842663067,0.06171791491059738,79,2025,2,15,10
0.36114347105198336,1.2043848146374072,-0.38516697593247057,-0.17336062317001266,-0.536045995540925,0.5782758785677937,0.6775512284620577,0.0011491015869672678,-0.38380952936620233,-0.3838858842663067,0.1077828116880827,79,2025,2,15,11
0.6145017880635428,1.8838391413546853,-0.5417047168931655,0.051834961660091786,-0.5885966910368539,0.9483843861969405,0.5943023538259962,0.0011491015869672678,-0.38380952936620233,-0.3838858842663067,0.3611397439642511,79,2025,2,15,12
